timestamp_ms,temperature_c,humidity_percent,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_mag_g,gyro_mag_dps,accel_mag_mean,accel_mag_std,accel_mag_rms,accel_mag_max,accel_mag_min,gyro_mag_mean,gyro_mag_std,gyro_mag_rms,gyro_mag_max,gyro_mag_min,accel_z_std,gyro_z_std,temp_change_rate,humidity_change_rate
361151,2.4,20.9,-0.04,-0.02,1.07,-0.12,1.45,1.68,1.0709341716464182,2.2224535990656813,1.0688705592039325,0.004433912926627834,1.0688779163215976,1.0709341716464182,1.0609429767899876,2.141072233880347,0.06809634082148049,2.141938374463654,2.2224535990656813,2.039485229169361,0.0044721359549996335,0.07049822692805797,0.0,0.0
362151,2.5,20.9,-0.04,-0.02,1.07,0.02,1.33,1.48,1.0709341716464182,1.9898994949494309,1.0688705592039325,0.004433912926627834,1.0688779163215976,1.0709341716464182,1.0609429767899876,2.131155087036361,0.08744994996453691,2.132589974655231,2.2224535990656813,1.9898994949494309,0.0044721359549996335,0.08043631020876059,0.10000000000000009,0.0
363151,2.5,20.9,-0.04,-0.02,1.07,-0.05,1.34,1.5,1.0709341716464182,2.0119890655766497,1.0708687981752187,0.00014617952552098165,1.0708688061569447,1.0709341716464182,1.07060730429042,2.097851167311437,0.09618003827484499,2.0996142502850375,2.2224535990656813,1.9898994949494309,0.0,0.09066421565314496,0.0,0.0
364151,2.5,20.8,-0.04,-0.02,1.07,-0.06,1.42,1.51,1.0709341716464182,2.0736682473336954,1.0708687981752187,0.00014617952552098165,1.0708688061569447,1.0709341716464182,1.07060730429042,2.087148570085443,0.09507133105128103,2.0888800827237546,2.2224535990656813,1.9898994949494309,0.0,0.08105553651663777,0.0,-0.09999999999999787
365151,2.5,20.8,-0.03,-0.02,1.07,-0.08,1.39,1.57,1.07060730429042,2.098427983038732,1.0708687981752187,0.00014617952552098165,1.0708688061569447,1.0709341716464182,1.07060730429042,2.0792876779928378,0.09139715632305544,2.080894038628589,2.2224535990656813,1.9898994949494309,0.0,0.08105553651663777,0.0,0.0
366151,2.5,20.8,-0.04,-0.03,1.07,-0.03,1.39,1.63,1.071167587261676,2.1424051904343395,1.0709154812982702,0.0001997363714288375,1.0709154961993967,1.071167587261676,1.07060730429042,2.0632779962665695,0.062489100271666466,2.06403488342615,2.1424051904343395,1.9898994949494309,0.0,0.06140032573203505,0.0,0.0
367151,2.5,20.8,-0.03,-0.02,1.07,0.02,1.31,1.51,1.07060730429042,1.9991498192981936,1.0708501078270705,0.0002412642522506741,1.07085012956996,1.071167587261676,1.07060730429042,2.065128061136322,0.05985494034888876,2.065821870346037,2.1424051904343395,1.9991498192981936,0.0,0.05549774770204645,0.0,0.0
368151,2.5,20.8,-0.04,-0.02,1.07,0.02,1.3,1.63,1.0709341716464182,2.0850179855339377,1.0708501078270705,0.0002412642522506741,1.07085012956996,1.071167587261676,1.07060730429042,2.0797338451277794,0.052047255331339234,2.080254792086777,2.1424051904343395,1.9991498192981936,0.0,0.059999999999999824,0.0,0.0
369151,2.5,20.8,-0.04,-0.03,1.07,-0.11,1.42,1.51,1.071167587261676,2.075716743681565,1.0708967909501221,0.0002809197632069923,1.0708968204266927,1.071167587261676,1.07060730429042,2.080143544397353,0.05199560921384279,2.0806633557594076,2.1424051904343395,1.9991498192981936,0.0,0.059999999999999824,0.0,0.0
370151,2.5,20.8,-0.03,-0.02,1.07,-0.08,1.3,1.47,1.07060730429042,1.964001018329675,1.0708967909501221,0.0002809197632069923,1.0708968204266927,1.071167587261676,1.07060730429042,2.053258151455542,0.07133515508998285,2.0542492545939988,2.1424051904343395,1.964001018329675,0.0,0.07483314773547878,0.0,0.0
371151,2.5,20.8,-0.03,-0.03,1.07,0.02,1.31,1.56,1.0708407911543154,2.0371794226331663,1.07083143172865,0.00023670120883887008,1.0708314526572331,1.071167587261676,1.07060730429042,2.032212997895307,0.05111667029168317,2.032727232070255,2.0850179855339377,1.964001018329675,0.0,0.06148170459575765,0.0,0.0
372151,2.5,20.8,-0.04,-0.03,1.07,0.05,1.42,1.54,1.071167587261676,2.095351999068414,1.0709434883229012,0.00023669277624363,1.0709435092478035,1.071167587261676,1.07060730429042,2.0514534338493515,0.05360513906921416,2.0520136451788034,2.095351999068414,1.964001018329675,0.0,0.059749476985158645,0.0,0.0
373151,2.5,20.8,-0.04,-0.02,1.09,-0.27,0.72,1.5,1.0909170454255448,1.6856156145456176,1.0749400630787265,0.008934538901349475,1.0749697670167286,1.0909170454255448,1.07060730429042,1.9715729596516876,0.16755620240043717,1.9772607314160668,2.095351999068414,1.6856156145456176,0.008944271909999192,0.03507135583350078,0.0,0.0
374151,2.4,20.8,-0.02,-0.02,1.07,0.0,0.4,1.54,1.0703737664946764,1.5911002482559042,1.0747812989253265,0.009024929389476685,1.074811611399877,1.0909170454255448,1.0703737664946764,1.8746496605665555,0.22318336110051545,1.8852479942967717,2.095351999068414,1.5911002482559042,0.008944271909999192,0.036331804249170215,-0.10000000000000009,0.0
375151,2.4,20.8,-0.03,-0.02,1.07,-0.11,1.4,1.65,1.07060730429042,2.1667025638051935,1.0747812989253265,0.009024929389476685,1.0748116113998771,1.0909170454255448,1.0703737664946764,1.9151899696616588,0.25900622605299667,1.9291500719228662,2.1667025638051935,1.5911002482559042,0.008944271909999192,0.055856960175075535,0.0,0.0
376151,2.5,20.7,-0.04,-0.02,1.07,-0.02,1.47,1.47,1.0709341716464182,2.0789901394667556,1.0747999750237471,0.009014827296787506,1.0748302191509131,1.0909170454255448,1.0703737664946764,1.9235521130283773,0.26454505397017314,1.9380505669357546,2.1667025638051935,1.5911002482559042,0.008944271909999192,0.06819090848492926,0.10000000000000009,-0.10000000000000142
377151,2.5,20.7,-0.03,-0.03,1.07,-0.09,1.21,1.51,1.0708407911543154,1.9370854395198989,1.0747346158022748,0.009048867079397109,1.0747650906128279,1.0909170454255448,1.0703737664946764,1.8918988011186737,0.24778752572951426,1.9048359509417074,2.1667025638051935,1.5911002482559042,0.008944271909999192,0.06949820141557624,0.0,0.0
378151,2.4,20.7,-0.03,-0.01,1.05,0.08,1.56,1.56,1.0504760825454333,2.2076231562474606,1.0666464232262527,0.009042111108716387,1.0666770832824712,1.0709341716464182,1.0504760825454333,1.9963003094590426,0.24911110586877333,2.008696094485176,2.2076231562474606,1.5911002482559042,0.008944271909999192,0.06730527468185526,-0.10000000000000009,0.0
379151,2.4,20.7,-0.04,-0.02,1.07,-0.11,1.08,1.47,1.0709341716464182,1.8274025281803679,1.066758504256601,0.009103131069811064,1.0667895762520367,1.0709341716464182,1.0504760825454333,2.043560765443935,0.15921446989123278,2.0485165364233695,2.2076231562474606,1.8274025281803679,0.008944271909999192,0.07563068160475618,0.0,0.0
380151,2.5,20.7,-0.03,-0.02,1.05,0.12,1.63,1.57,1.0506188652408637,2.266318600726738,1.0627608164466897,0.011149384824140036,1.0628076025320858,1.0709341716464182,1.0504760825454333,2.0634839728282444,0.1829408848541174,2.0699613522962212,2.266318600726738,1.8274025281803679,0.010954451150103333,0.047749345545253626,0.10000000000000009,0.0
381151,2.5,20.7,-0.02,-0.01,1.07,0.05,1.37,1.44,1.070233619356073,1.9882152800941855,1.0626207059886208,0.011024699783058874,1.062666457549122,1.0709341716464182,1.0504760825454333,2.04532900095373,0.18550363156019387,2.05204775772885,2.266318600726738,1.8274025281803679,0.010954451150103333,0.05612486080160948,0.0,0.0
382151,2.4,20.8,-0.03,-0.03,1.07,-0.08,1.48,1.63,1.0708407911543154,2.203111436128459,1.0626207059886208,0.011024699783058874,1.062666457549122,1.0709341716464182,1.0504760825454333,2.0985342002754424,0.18484524024948076,2.105036816780172,2.266318600726738,1.8274025281803679,0.010954451150103333,0.07765307463326873,-0.10000000000000009,0.10000000000000142
383151,2.4,20.8,-0.04,-0.02,1.07,-0.02,1.31,1.48,1.0709341716464182,1.976587969203496,1.0667123238088176,0.009001266188155185,1.066742705623057,1.0709341716464182,1.0506188652408637,2.052327162866649,0.179559240084333,2.058601467015896,2.266318600726738,1.8274025281803679,0.008944271909999192,0.07918333157931674,0.0,0.0
384151,2.5,20.8,-0.05,-0.02,1.07,-0.09,1.68,1.53,1.071354283138869,2.2740712389896673,1.0667963461073078,0.009052343073548451,1.0668270712725658,1.071354283138869,1.0506188652408637,2.1416609050285094,0.14802266664462072,2.1457492863799352,2.2740712389896673,1.976587969203496,0.008944271909999192,0.07449832212875673,0.10000000000000009,0.0
385151,2.5,20.8,-0.03,-0.03,1.07,0.0,1.16,1.59,1.0708407911543154,1.9681717404738845,1.0708407312899983,0.00040032846174945533,1.0708407911543152,1.071354283138869,1.070233619356073,2.0820315329779384,0.14527859307867796,2.0860824528287467,2.2740712389896673,1.9681717404738845,0.0,0.07765307463326872,0.0,0.0
386151,2.5,20.8,-0.04,-0.02,1.07,0.02,1.42,1.53,1.0709341716464182,2.0875104790156143,1.0709808417480673,0.00021391762826992512,1.0709808588392231,1.071354283138869,1.0708407911543154,2.101890572762224,0.13572039333354313,2.1053930749387395,2.2740712389896673,1.9681717404738845,0.0,0.0584807660688536,0.0,0.0
387151,2.5,20.8,-0.04,-0.02,1.06,0.0,1.39,1.57,1.0609429767899876,2.096902477465273,1.0690012788752017,0.004509124524684306,1.0690088867731644,1.071354283138869,1.0609429767899876,2.080648781029587,0.12369645306199012,2.0835882510707338,2.2740712389896673,1.9681717404738845,0.0044721359549996335,0.04242640687119285,0.0,0.0
